"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 27 03:58:52 UTC 2023","Sun Aug 27 03:58:54 UTC 2023","2280","","22. Individual Onboarding for Interactive Brokers","","","","12. Check Final Review",""
"passed","Sun Aug 27 03:55:38 UTC 2023","Sun Aug 27 03:55:58 UTC 2023","20057","","22. Individual Onboarding for Interactive Brokers","","","","1. Log into user with IB access",""
"passed","Sun Aug 27 03:46:25 UTC 2023","Sun Aug 27 03:46:47 UTC 2023","21875","","19. Look Up Investment Account","","","","1. Log in using manager login",""
"passed","Sun Aug 27 03:50:02 UTC 2023","Sun Aug 27 03:50:10 UTC 2023","8490","","20. Admin Portal - Check details","","","","4. Direct to Account’s client portal",""
"passed","Sun Aug 27 03:30:53 UTC 2023","Sun Aug 27 03:30:56 UTC 2023","3307","","16. Nucleus Wealth Wordpress Site","","","","5. Visit Direct Indexing",""
"passed","Sun Aug 27 02:54:24 UTC 2023","Sun Aug 27 02:54:35 UTC 2023","10715","","6. Company Account","","","","4. Complete Build Your Portfolio",""
"passed","Sun Aug 27 03:09:12 UTC 2023","Sun Aug 27 03:09:23 UTC 2023","11247","","10. Client Portal - Account Dashboard","","","","3. Direct user to Account Dashboard",""
"passed","Sun Aug 27 03:09:52 UTC 2023","Sun Aug 27 03:09:55 UTC 2023","2487","","10. Client Portal - Account Dashboard","","","","5. Expand Strategic",""
"passed","Sun Aug 27 03:23:38 UTC 2023","Sun Aug 27 03:24:16 UTC 2023","38139","","13. Client Portal - Change Portfolio","","","","6. Submit Change",""
"passed","Sun Aug 27 03:52:47 UTC 2023","Sun Aug 27 03:53:00 UTC 2023","13028","","21. Forgot password function","","","","1. Direct to forgot password page",""
"passed","Sun Aug 27 03:10:08 UTC 2023","Sun Aug 27 03:10:08 UTC 2023","686","","10. Client Portal - Account Dashboard","","","","8. Expand Performance",""
"broken","Sun Aug 27 04:08:29 UTC 2023","Sun Aug 27 04:08:29 UTC 2023","2","","23. Change Portfolio for Interactive Brokers","","","","1. Log into user with IB access and direct user to “Your Account(s)” page",""
"passed","Sun Aug 27 02:47:01 UTC 2023","Sun Aug 27 02:47:05 UTC 2023","3908","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","13. Review Final Review",""
"passed","Sun Aug 27 02:55:05 UTC 2023","Sun Aug 27 02:55:09 UTC 2023","3249","","6. Company Account","","","","8. Navigate from Applicants to Final Review",""
"passed","Sun Aug 27 03:31:29 UTC 2023","Sun Aug 27 03:31:31 UTC 2023","2647","","16. Nucleus Wealth Wordpress Site","","","","10. Check wordpress image uploaded date",""
"skipped","Sun Aug 27 02:24:21 UTC 2023","Sun Aug 27 02:24:21 UTC 2023","2","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","4. Check Help Modal in Investment Choice",""
"passed","Sun Aug 27 03:23:36 UTC 2023","Sun Aug 27 03:23:38 UTC 2023","2662","","13. Client Portal - Change Portfolio","","","","5. Check Final Review",""
"passed","Sun Aug 27 03:38:19 UTC 2023","Sun Aug 27 03:42:52 UTC 2023","272914","","18. Check Admin header","","","","2. Check Navbar",""
"passed","Sun Aug 27 02:38:15 UTC 2023","Sun Aug 27 02:38:17 UTC 2023","2630","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Sun Aug 27 03:02:37 UTC 2023","Sun Aug 27 03:02:57 UTC 2023","19481","","9. Client Portal - Home","","","","1. Check links",""
"passed","Sun Aug 27 02:31:42 UTC 2023","Sun Aug 27 02:31:52 UTC 2023","9258","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","2. Create new Personal Super Account",""
"passed","Sun Aug 27 02:27:30 UTC 2023","Sun Aug 27 02:28:14 UTC 2023","44532","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","14. Complete Final Review",""
"passed","Sun Aug 27 02:42:47 UTC 2023","Sun Aug 27 02:43:06 UTC 2023","19057","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Sun Aug 27 02:31:21 UTC 2023","Sun Aug 27 02:31:42 UTC 2023","21670","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Sun Aug 27 03:30:59 UTC 2023","Sun Aug 27 03:31:02 UTC 2023","3363","","16. Nucleus Wealth Wordpress Site","","","","7. Visit Contact",""
"passed","Sun Aug 27 03:58:54 UTC 2023","Sun Aug 27 03:59:34 UTC 2023","39413","","22. Individual Onboarding for Interactive Brokers","","","","13. Limited Advice Path",""
"passed","Sun Aug 27 02:51:34 UTC 2023","Sun Aug 27 02:51:35 UTC 2023","634","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Sun Aug 27 02:40:24 UTC 2023","Sun Aug 27 02:40:27 UTC 2023","2598","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Sun Aug 27 02:37:47 UTC 2023","Sun Aug 27 02:38:07 UTC 2023","20642","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Sun Aug 27 04:15:20 UTC 2023","Sun Aug 27 04:15:50 UTC 2023","29707","","23. Change Portfolio for Interactive Brokers","","","","5. Complete Build Your Portfolio",""
"passed","Sun Aug 27 02:40:10 UTC 2023","Sun Aug 27 02:40:24 UTC 2023","13609","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","7. Complete In SMSF Details",""
"passed","Sun Aug 27 03:49:55 UTC 2023","Sun Aug 27 03:50:01 UTC 2023","6000","","20. Admin Portal - Check details","","","","2. Account ID 445 detail page",""
"passed","Sun Aug 27 02:24:31 UTC 2023","Sun Aug 27 02:24:54 UTC 2023","23732","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","6. Complete Build Your Portfolio",""
"passed","Sun Aug 27 03:30:43 UTC 2023","Sun Aug 27 03:30:47 UTC 2023","3783","","16. Nucleus Wealth Wordpress Site","","","","2. Visit Investment Options",""
"passed","Sun Aug 27 02:53:57 UTC 2023","Sun Aug 27 02:54:14 UTC 2023","17219","","6. Company Account","","","","1. Validate login credentials",""
"passed","Sun Aug 27 03:23:01 UTC 2023","Sun Aug 27 03:23:03 UTC 2023","1310","","13. Client Portal - Change Portfolio","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Sun Aug 27 02:38:07 UTC 2023","Sun Aug 27 02:38:15 UTC 2023","7314","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","2. Create a SMSF Account",""
"passed","Sun Aug 27 03:09:56 UTC 2023","Sun Aug 27 03:10:08 UTC 2023","11450","","10. Client Portal - Account Dashboard","","","","7. Expand Portfolio",""
"passed","Sun Aug 27 03:27:44 UTC 2023","Sun Aug 27 03:28:30 UTC 2023","45453","","15. Test 2 Factor Login is working","","","","Get SMS and apply it in 2FA form",""
"passed","Sun Aug 27 03:59:34 UTC 2023","Sun Aug 27 04:00:30 UTC 2023","56339","","22. Individual Onboarding for Interactive Brokers","","","","14. Complete Final Review",""
"passed","Sun Aug 27 02:31:52 UTC 2023","Sun Aug 27 02:31:54 UTC 2023","2574","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Sun Aug 27 02:43:35 UTC 2023","Sun Aug 27 02:43:42 UTC 2023","7296","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Sun Aug 27 03:08:55 UTC 2023","Sun Aug 27 03:09:11 UTC 2023","16548","","10. Client Portal - Account Dashboard","","","","1. Direct user to “Your Accounts” page",""
"passed","Sun Aug 27 02:51:03 UTC 2023","Sun Aug 27 02:51:07 UTC 2023","3289","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Sun Aug 27 02:45:05 UTC 2023","Sun Aug 27 02:45:57 UTC 2023","52220","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","7. Complete Applicants",""
"passed","Sun Aug 27 02:46:00 UTC 2023","Sun Aug 27 02:46:04 UTC 2023","3486","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","9. Complete Bank Details",""
"passed","Sun Aug 27 03:31:02 UTC 2023","Sun Aug 27 03:31:20 UTC 2023","17335","","16. Nucleus Wealth Wordpress Site","","","","8. Visit Member Login",""
"passed","Sun Aug 27 02:50:22 UTC 2023","Sun Aug 27 02:50:37 UTC 2023","15046","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","4. Complete Build Your Portfolio",""
"passed","Sun Aug 27 03:50:14 UTC 2023","Sun Aug 27 03:50:15 UTC 2023","1420","","20. Admin Portal - Check details","","","","7. Check Current Settings",""
"passed","Sun Aug 27 03:13:15 UTC 2023","Sun Aug 27 03:13:35 UTC 2023","20280","","11. Client Portal - Administration","","","","4. Check Administration Page",""
"passed","Sun Aug 27 02:54:35 UTC 2023","Sun Aug 27 02:54:40 UTC 2023","4465","","6. Company Account","","","","5. Complete Screen and tilts",""
"passed","Sun Aug 27 03:53:00 UTC 2023","Sun Aug 27 03:53:27 UTC 2023","27046","","21. Forgot password function","","","","2. Reset password",""
"passed","Sun Aug 27 03:30:31 UTC 2023","Sun Aug 27 03:30:43 UTC 2023","12735","","16. Nucleus Wealth Wordpress Site","","","","1. Visit Production Site",""
"passed","Sun Aug 27 03:56:43 UTC 2023","Sun Aug 27 03:56:49 UTC 2023","5523","","22. Individual Onboarding for Interactive Brokers","","","","7.Complete Screen and Tilts",""
"passed","Sun Aug 27 02:27:07 UTC 2023","Sun Aug 27 02:27:24 UTC 2023","16960","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","12. Complete Applicants",""
"passed","Sun Aug 27 02:25:29 UTC 2023","Sun Aug 27 02:25:54 UTC 2023","24673","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","10. Complete Risk Profile and navigate to Review",""
"passed","Sun Aug 27 02:40:27 UTC 2023","Sun Aug 27 02:40:27 UTC 2023","500","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Sun Aug 27 03:50:10 UTC 2023","Sun Aug 27 03:50:12 UTC 2023","1965","","20. Admin Portal - Check details","","","","5. Check Investor Panel",""
"passed","Sun Aug 27 03:46:47 UTC 2023","Sun Aug 27 03:46:57 UTC 2023","10040","","19. Look Up Investment Account","","","","2. Direct to Investment Account Search",""
"passed","Sun Aug 27 02:32:21 UTC 2023","Sun Aug 27 02:32:29 UTC 2023","7561","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Sun Aug 27 03:09:24 UTC 2023","Sun Aug 27 03:09:52 UTC 2023","28657","","10. Client Portal - Account Dashboard","","","","4. Check Tactical Panel",""
"passed","Sun Aug 27 03:50:12 UTC 2023","Sun Aug 27 03:50:14 UTC 2023","1365","","20. Admin Portal - Check details","","","","6. Check Account Settings & History (Data Snapshots)",""
"passed","Sun Aug 27 03:56:11 UTC 2023","Sun Aug 27 03:56:39 UTC 2023","28201","","22. Individual Onboarding for Interactive Brokers","","","","5. Complete Risk Profile",""
"passed","Sun Aug 27 03:09:55 UTC 2023","Sun Aug 27 03:09:56 UTC 2023","1569","","10. Client Portal - Account Dashboard","","","","6. Expand Ethics/Exclusions",""
"passed","Sun Aug 27 03:46:57 UTC 2023","Sun Aug 27 03:47:00 UTC 2023","2587","","19. Look Up Investment Account","","","","3. Search Account ID 445",""
"passed","Sun Aug 27 02:46:08 UTC 2023","Sun Aug 27 02:47:01 UTC 2023","53049","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","12. Add another investor in Applicants",""
"passed","Sun Aug 27 04:15:08 UTC 2023","Sun Aug 27 04:15:20 UTC 2023","11791","","23. Change Portfolio for Interactive Brokers","","","","4. Complete Risk Profile",""
"passed","Sun Aug 27 02:51:07 UTC 2023","Sun Aug 27 02:51:31 UTC 2023","24590","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","7. Complete In Trust Details",""
"passed","Sun Aug 27 02:46:04 UTC 2023","Sun Aug 27 02:46:08 UTC 2023","4687","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Sun Aug 27 03:47:00 UTC 2023","Sun Aug 27 03:47:04 UTC 2023","4387","","19. Look Up Investment Account","","","","4. Expand Account ID 445",""
"passed","Sun Aug 27 02:50:19 UTC 2023","Sun Aug 27 02:50:22 UTC 2023","2579","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Sun Aug 27 02:49:50 UTC 2023","Sun Aug 27 02:50:10 UTC 2023","20342","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Sun Aug 27 02:54:54 UTC 2023","Sun Aug 27 02:54:56 UTC 2023","2074","","6. Company Account","","","","6. Review Review Page",""
"passed","Sun Aug 27 03:16:03 UTC 2023","Sun Aug 27 03:16:05 UTC 2023","1531","","12. Client Portal - Forms","","","","4. Expand Personal Investment Forms",""
"passed","Sun Aug 27 03:57:25 UTC 2023","Sun Aug 27 03:58:37 UTC 2023","72880","","22. Individual Onboarding for Interactive Brokers","","","","9. Complete Applicants",""
"passed","Sun Aug 27 03:22:58 UTC 2023","Sun Aug 27 03:23:01 UTC 2023","3571","","13. Client Portal - Change Portfolio","","","","2. Direct user to “Investment Choice”",""
"passed","Sun Aug 27 02:45:57 UTC 2023","Sun Aug 27 02:46:00 UTC 2023","2957","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","8. Navigate from Applicants to Bank Details",""
"passed","Sun Aug 27 03:22:42 UTC 2023","Sun Aug 27 03:22:57 UTC 2023","15673","","13. Client Portal - Change Portfolio","","","","1. Direct user to “Your Account(s)” page",""
"passed","Sun Aug 27 02:23:56 UTC 2023","Sun Aug 27 02:24:14 UTC 2023","17421","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Sun Aug 27 03:31:20 UTC 2023","Sun Aug 27 03:31:29 UTC 2023","8770","","16. Nucleus Wealth Wordpress Site","","","","9. Visit Get Started",""
"passed","Sun Aug 27 02:25:01 UTC 2023","Sun Aug 27 02:25:21 UTC 2023","19309","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","8. Review Review Page",""
"passed","Sun Aug 27 02:50:10 UTC 2023","Sun Aug 27 02:50:19 UTC 2023","8671","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","2. Create a Trust Account",""
"passed","Sun Aug 27 02:34:39 UTC 2023","Sun Aug 27 02:34:45 UTC 2023","5391","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","7. Review Review Page",""
"passed","Sun Aug 27 02:43:13 UTC 2023","Sun Aug 27 02:43:16 UTC 2023","3075","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Sun Aug 27 02:45:00 UTC 2023","Sun Aug 27 02:45:05 UTC 2023","4161","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Sun Aug 27 02:34:56 UTC 2023","Sun Aug 27 02:34:57 UTC 2023","1118","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Sun Aug 27 03:15:58 UTC 2023","Sun Aug 27 03:16:03 UTC 2023","5206","","12. Client Portal - Forms","","","","3. Expand Superannuation Forms",""
"passed","Sun Aug 27 03:15:56 UTC 2023","Sun Aug 27 03:15:58 UTC 2023","1846","","12. Client Portal - Forms","","","","2. Check Form Page",""
"passed","Sun Aug 27 02:25:21 UTC 2023","Sun Aug 27 02:25:29 UTC 2023","8198","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","9. Navigate to Risk Profile",""
"passed","Sun Aug 27 04:15:07 UTC 2023","Sun Aug 27 04:15:08 UTC 2023","1495","","23. Change Portfolio for Interactive Brokers","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Sun Aug 27 03:30:56 UTC 2023","Sun Aug 27 03:30:59 UTC 2023","2636","","16. Nucleus Wealth Wordpress Site","","","","6. Visit Resources",""
"passed","Sun Aug 27 03:30:47 UTC 2023","Sun Aug 27 03:30:50 UTC 2023","2715","","16. Nucleus Wealth Wordpress Site","","","","3. Visit Ethical Investing",""
"passed","Sun Aug 27 02:31:54 UTC 2023","Sun Aug 27 02:32:21 UTC 2023","26858","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Sun Aug 27 02:50:37 UTC 2023","Sun Aug 27 02:50:42 UTC 2023","5407","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Sun Aug 27 02:54:22 UTC 2023","Sun Aug 27 02:54:24 UTC 2023","2494","","6. Company Account","","","","3. Complete Investment Choice",""
"passed","Sun Aug 27 02:32:29 UTC 2023","Sun Aug 27 02:32:38 UTC 2023","9024","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","6. Complete Super Fund Entry",""
"passed","Sun Aug 27 02:54:56 UTC 2023","Sun Aug 27 02:55:05 UTC 2023","8926","","6. Company Account","","","","7. Complete In Company Details",""
"passed","Sun Aug 27 02:54:14 UTC 2023","Sun Aug 27 02:54:22 UTC 2023","7623","","6. Company Account","","","","2. Create a Company Account",""
"passed","Sun Aug 27 02:24:54 UTC 2023","Sun Aug 27 02:25:01 UTC 2023","6915","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","7. Complete Screen and Tilts",""
"passed","Sun Aug 27 03:58:37 UTC 2023","Sun Aug 27 03:58:43 UTC 2023","5269","","22. Individual Onboarding for Interactive Brokers","","","","10. Complete Bank Details",""
"passed","Sun Aug 27 02:24:14 UTC 2023","Sun Aug 27 02:24:21 UTC 2023","7296","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","3. Create new Individual investment account",""
"passed","Sun Aug 27 02:43:06 UTC 2023","Sun Aug 27 02:43:13 UTC 2023","6826","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","2. Create a Joint Account",""
"passed","Sun Aug 27 03:49:33 UTC 2023","Sun Aug 27 03:49:55 UTC 2023","21836","","20. Admin Portal - Check details","","","","1. Log in using manager login",""
"passed","Sun Aug 27 03:13:15 UTC 2023","Sun Aug 27 03:13:15 UTC 2023","315","","11. Client Portal - Administration","","","","3. Check Upload Verification Documents",""
"passed","Sun Aug 27 03:09:12 UTC 2023","Sun Aug 27 03:09:12 UTC 2023","412","","10. Client Portal - Account Dashboard","","","","2. Overall asset summary panel",""
"passed","Sun Aug 27 03:00:04 UTC 2023","Sun Aug 27 03:00:42 UTC 2023","37062","","8. Sign Up new user","","","","1. Create a new user",""
"passed","Sun Aug 27 03:30:50 UTC 2023","Sun Aug 27 03:30:53 UTC 2023","2977","","16. Nucleus Wealth Wordpress Site","","","","4. Visit Superannuation",""
"passed","Sun Aug 27 03:50:01 UTC 2023","Sun Aug 27 03:50:02 UTC 2023","568","","20. Admin Portal - Check details","","","","3. Check panels existence",""
"passed","Sun Aug 27 02:34:45 UTC 2023","Sun Aug 27 02:34:56 UTC 2023","11269","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","9. Complete Insurance Quote",""
